country;HPI;population;GDPpcap;lifeExp;region;footprint;wellbeing;renewableEnergy;hunger;qualityOfLife;purchasingPower;climate
Israel;28.8;7910500;32819;81.9;Middle East and North Africa;6.2;6.8;9.342.675.305;;166.63;115.54;81.89
Italy;28.1;59539717;34844;82.7;Europe;4.6;5.3;17.090.359;;159.28;105.67;86.19
Jamaica;36.9;2707805;5446;75.3;Americas;1.9;5;1.598.840.418;92.1;;;
Japan;28.3;127561489;46679;83.2;Asia Pacific;5;5.6;552.698.149;;176.06;117.55;79.64
Kazakhstan;19.1;16791425;12120;68.6;Post-communist;5.6;5.4;1.362.599.317;92.2;;;
Kenya;24.2;42542978;1185;60.3;Sub Saharan Africa;1;4.1;7.551.816.658;78.1;;;
Kyrgyzstan;33.1;5607200;1178;69.7;Post-communist;1.9;4.9;NAN;90.9;;;
Latvia;17.1;2034319;13775;73.6;Post-communist;6.3;4.7;4.023.606.125;95;;;
Lebanon;21.9;4440728;9729;78.8;Middle East and North Africa;3.8;4;3.203.544.468;92.9;;;
Lesotho;16.7;2057331;1159;48.9;Sub Saharan Africa;1.7;4.3;5.181.579.507;77.3;;;
Liberia;22.2;4190155;414;60.2;Sub Saharan Africa;1.2;4.1;8.981.932.607;69.3;;;
Lithuania;21;2987773;14343;72.8;Post-communist;5.8;5.4;2.807.216.559;95;134.33;61.25;24.42
Luxembourg;13.2;530946;105447;81.1;Europe;15.8;6.7;6.966.288.592;;;;
Macedonia;23.4;2069270;4710;75.1;Post-communist;3.3;4.1;1.830.179.467;94.2;115.03;46.74;80.55
Malawi;22.1;15700436;270;60.1;Sub Saharan Africa;0.8;3.5;8.057.846.674;73.1;;;
Malaysia;30.3;29021940;10835;74.4;Asia Pacific;3.7;5.7;4.769.773.882;90.3;;;
Malta;29;419455;21176;80.2;Europe;4.4;5.5;3.952.173.172;;;;
Mauritania;18;3777067;1283;62.6;Sub Saharan Africa;2.5;4.5;3.257.984.922;77.9;;;
Mauritius;27.4;1255882;9114;74;Sub Saharan Africa;3.5;5.1;1.064.009.215;86.8;;;
Mexico;40.7;122070963;9703;76.4;Americas;2.9;6.8;9.798.903.322;92.8;137.01;76.51;58.78
Mongolia;14.3;2808339;4377;68.6;Asia Pacific;6.1;4.6;NAN;86.2;;;
Montenegro;25.1;620601;6587;75.8;Post-communist;3.8;4.6;4.598.189.801;95;;;
Morocco;32.7;32984190;2931;73.4;Middle East and North Africa;1.7;4.5;1.177.795.804;90.7;;;
Mozambique;23.7;25732928;565;54.3;Sub Saharan Africa;0.9;4.5;8.885.294.877;68.3;;;
Myanmar;24.7;52543841;1421;65.5;Asia Pacific;1.4;4;6.852.169.606;78;;;
Namibia;21.6;2291645;5680;64;Sub Saharan Africa;2.5;4.4;2.761.747.334;68.6;;;
Nepal;30.5;27500515;685;68.8;Asia Pacific;1;3.8;8.437.679.559;78.1;;;
Netherlands;35.3;16754962;49475;81.2;Europe;5.3;7.5;5.668.454.079;;192.4;129.34;76.28
New Zealand;31.3;4408100;39505;81.4;Asia Pacific;5.6;6.9;3.086.475.021;;201.06;115.47;88.35
Nicaragua;38.7;5877034;1780;74.3;Americas;1.4;4.8;5.184.228.127;86.7;;;
Niger;16.8;17635782;394;60;Sub Saharan Africa;1.6;3.5;7.813.167.457;66.3;;;
Nigeria;22.2;168240403;2740;52.1;Sub Saharan Africa;1.2;5.2;8.727.475.791;74.5;;;
Norway;36.8;5018573;101564;81.3;Europe;5;7.4;570.886.188;;188.9;125.75;56.33
Oman;21.1;3545192;21534;76.3;Middle East and North Africa;7.5;6.4;0;89.6;;;
Pakistan;31.5;177392252;1266;65.7;Asia Pacific;0.8;4.6;472.055.915;66.6;93.99;43.34;41.17
Palestine;34.5;4046901;2783;72.6;Middle East and North Africa;1.2;4.1;NAN;;;;
Panama;39.5;3743761;10139;77.2;Americas;2.8;6.3;1.977.078.693;90.7;;;
Paraguay;23.3;6379162;3858;72.6;Americas;4.2;5.5;6.311.691.455;89.6;;;
Peru;34.6;30158768;6389;74.1;Americas;2.3;5.3;2.563.570.064;91.4;;;
