FG,FHX,FHN
65,90,50
49,100,20
38,60,20
58,90,30
56,60,40
45,70,20
18,30,10
40,60,20
59,80,20
50,90,10
95,130,60
60,90,40
63,90,40
74,100,40
67,100,40
43,70,10
22,30,10
31,50,20
33,50,20
23,40,10
33,50,20
53,70,40
59,80,30
78,90,70
72,80,60
64,80,50
44,60,30
80,100,50
