date,average,maximum,minimum
20160201,124,160,70
20160202,108,120,90
20160203,71,100,30
20160204,45,80,0
20160205,63,90,30
20160206,77,90,60
20160207,100,130,70
20160208,140,170,110
20160209,70,130,20
20160210,59,80,40
20160211,44,70,30
20160212,32,50,20
20160213,56,80,30
20160214,60,70,40
20160215,46,70,10
20160216,17,40,0
20160217,34,50,10
20160218,44,60,20
20160219,44,90,10
20160220,101,140,70
20160221,121,150,60
20160222,67,150,30
20160223,40,80,20
20160224,33,60,20
20160225,35,70,10
20160226,22,30,10
20160227,50,80,30
20160228,45,80,20
20160229,33,70,10
